Lower tier local authorities label,Cambridge,Huntingdonshire,South Cambridgeshire
Cambridge,0.15329557019658258,0.003548663559912154,0.035982109379184744
Huntingdonshire,0.017542847250274107,0.14653313678069868,0.01823532806278493
South Cambridgeshire,0.08121986275964392,0.009719260014836795,0.08501599591988131
